d w z t
8 103 1 0
8 46 1 0
8 10 1 0
8 98 1 0
8 5 1 0
8 6 1 0
8 105 1 0
8 30 1 0
8 110 1 0
8 12 1 0
8 32 1 0
8 112 1 0
8 30 1 0
8 45 1 0
8 111 1 0
8 30 1 0
8 5 1 0
8 70 1 0
8 6 1 0
8 99 1 0
8 7 1 0
8 25 1 0
8 2 1 0
8 110 1 0
8 64 1 0
8 1 1 0
8 109 1 0
8 98 1 0
8 25 1 0
8 25 1 0
8 103 1 0
8 100 1 0
8 31 1 0
8 53 1 0
8 31 1 0
8 102 1 0
8 52 1 0
8 4 1 0
8 76 1 0
8 79 1 0
8 101 1 0
8 22 1 0
8 103 1 0
8 31 1 0
8 98 1 0
8 107 1 0
8 98 1 0
8 104 1 0
8 59 1 0
8 106 1 0
8 108 1 0
8 1 1 0
0 21 0 0
0 15 0 0
0 31 0 0
0 14 0 0
0 33 0 0
0 21 0 0
0 18 0 0
0 6 0 0
0 2 0 0
0 8 0 0
0 9 0 0
0 4 0 0
0 28 0 0
0 36 0 0
0 5 0 0
0 29 0 0
0 22 0 0
0 3 0 0
0 13 0 0
0 1 0 0
0 30 0 0
0 12 0 0
0 15 0 0
0 32 0 0
0 10 0 0
0 11 0 0
0 7 0 0
0 17 0 0
0 27 0 0
0 25 0 0
0 16 0 0
0 23 0 0
0 26 0 0
0 6 0 0
0 35 0 0
0 5 0 0
0 25 0 0
0 34 0 0
0 3 0 0
0 34 0 0
0 33 0 0
0 1 0 0
0 22 0 0
0 7 0 0
0 20 0 0
0 0 0 0
0 24 0 0
0 4 0 0
0 19 0 0
0 4 0 0
0 2 0 0
0 25 0 0
0 0 0 0
0 4 0 0
6 33 0 0
6 10 0 0
6 85 0 0
6 4 0 0
6 30 0 0
6 31 0 0
6 14 0 0
6 46 0 0
6 7 0 0
6 34 0 0
6 84 0 0
6 48 0 0
6 95 0 0
6 4 0 0
6 17 0 0
6 34 0 0
6 50 0 0
6 82 0 0
6 10 0 0
6 72 0 0
6 91 0 0
6 34 0 0
6 31 0 0
6 92 0 0
6 4 0 0
6 5 0 0
6 83 0 0
6 5 0 0
6 30 0 0
6 34 0 0
6 88 0 0
6 34 0 0
6 5 0 0
6 93 0 0
6 55 0 0
6 82 0 0
6 23 0 0
6 90 0 0
6 48 0 0
6 86 0 0
6 89 0 0
6 7 0 0
6 16 0 0
6 46 0 0
6 31 0 0
6 50 0 0
6 35 0 0
6 46 0 0
6 12 0 0
6 56 0 0
6 31 0 0
6 40 0 0
6 30 0 0
6 33 0 0
6 10 0 0
6 29 0 0
6 30 0 0
6 3 0 0
6 4 0 0
6 33 0 0
6 7 0 0
6 49 0 0
6 5 0 0
6 93 0 0
6 82 0 0
6 93 0 0
6 94 0 0
6 22 0 0
6 30 0 0
6 53 0 0
6 93 0 0
6 3 0 0
6 49 0 0
6 7 0 0
6 2 0 0
6 87 0 0
3 59 0 0
3 59 0 0
3 65 0 0
3 60 0 0
3 59 0 0
3 44 0 0
3 33 0 0
3 67 0 0
3 8 0 0
3 64 0 0
3 61 0 0
3 25 0 0
3 69 0 0
3 4 0 0
3 50 0 0
3 63 0 0
3 62 0 0
3 4 0 0
3 11 0 0
3 5 0 0
3 61 0 0
3 4 0 0
3 31 0 0
3 48 0 0
3 11 0 0
3 68 0 0
3 26 0 0
3 66 0 0
3 31 0 0
3 43 0 0
3 69 0 0
2 7 0 0
2 58 0 0
2 52 0 0
2 54 0 0
2 7 0 0
2 6 0 0
2 10 0 0
2 31 0 0
2 33 0 0
2 25 0 0
2 33 0 0
2 4 0 0
2 1 0 0
2 33 0 0
2 46 0 0
2 23 0 0
2 49 0 0
2 51 0 0
2 31 0 0
2 33 0 0
2 15 0 0
2 9 0 0
2 4 0 0
2 4 0 0
2 5 0 0
2 59 0 0
2 56 0 0
2 48 0 0
2 47 0 0
2 33 0 0
2 31 0 0
2 57 0 0
2 4 0 0
2 50 0 0
2 49 0 0
2 33 0 0
2 33 0 0
2 33 0 0
2 55 0 0
2 53 0 0
18 22 0 0
18 118 0 0
18 75 0 0
18 38 0 0
18 54 0 0
18 10 0 0
18 134 0 0
18 31 0 0
18 4 0 0
18 26 0 0
18 33 0 0
18 71 0 0
18 3 0 0
18 31 0 0
18 25 0 0
18 120 0 0
18 80 0 0
18 5 0 0
18 49 0 0
18 5 0 0
18 26 0 0
18 6 0 0
18 133 0 0
18 18 0 0
18 54 0 0
18 109 0 0
18 93 0 0
18 4 0 0
18 20 0 0
18 134 0 0
18 6 0 0
18 25 0 0
18 31 0 0
18 1 0 0
18 5 0 0
18 94 0 0
18 31 0 0
18 128 0 0
18 10 0 0
18 130 0 0
18 60 0 0
18 17 0 0
18 31 0 0
18 25 0 0
18 22 0 0
18 31 0 0
18 1 0 0
18 132 0 0
18 47 0 0
18 37 0 0
18 11 0 0
18 133 0 0
18 26 0 0
18 43 0 0
18 23 0 0
18 33 0 0
18 50 0 0
18 119 0 0
18 104 0 0
18 101 0 0
18 101 0 0
18 10 0 0
18 49 0 0
18 50 0 0
18 34 0 0
18 63 0 0
18 5 0 0
18 31 0 0
18 31 0 0
16 44 0 0
16 25 0 0
16 31 0 0
16 130 0 0
16 4 0 0
16 50 0 0
16 5 0 0
16 80 0 0
16 88 0 0
16 15 0 0
16 7 0 0
16 75 0 0
16 31 0 0
16 51 0 0
16 22 0 0
16 11 0 0
16 124 0 0
15 102 1 0
15 51 0 1
15 102 1 0
15 64 1 0
15 4 0 1
15 33 0 1
15 40 1 0
15 105 1 0
15 20 1 0
15 75 0 1
15 33 0 1
15 5 1 0
15 112 1 0
15 22 0 1
15 128 1 0
15 126 1 0
15 129 1 0
15 88 1 0
15 26 0 1
15 31 1 0
15 40 0 1
15 68 1 0
15 20 1 0
15 30 1 0
15 1 1 0
15 120 1 0
15 129 1 0
15 129 1 0
15 33 0 1
15 25 1 0
15 102 1 0
15 114 1 0
15 20 1 0
15 15 0 1
15 65 0 1
15 6 0 1
1 37 0 0
1 45 0 0
1 44 0 0
1 26 0 0
1 39 0 0
1 2 0 0
1 43 0 0
1 4 0 0
1 41 0 0
1 42 0 0
1 46 0 0
1 38 1 1
1 40 0 0
1 40 0 0
1 26 0 0
1 31 0 0
1 2 0 0
1 5 0 0
1 7 0 0
1 31 0 0
1 31 0 0
19 117 0 0
19 81 0 0
19 12 0 0
19 5 0 0
19 25 0 0
19 135 0 0
19 69 0 0
19 5 0 0
19 25 0 0
19 22 0 0
19 49 0 0
19 33 0 0
19 28 0 0
19 69 0 0
19 119 0 0
19 10 0 0
19 65 0 0
19 26 0 0
19 67 0 0
19 69 0 0
19 33 0 0
19 31 0 0
19 80 0 0
19 5 0 0
19 4 0 0
19 31 0 0
19 128 0 0
19 9 0 0
19 69 0 0
19 4 0 0
19 4 0 0
19 103 0 0
19 120 0 0
19 5 0 0
19 135 0 0
19 28 0 0
19 5 0 0
19 5 0 0
19 10 0 0
19 31 0 0
19 15 0 0
19 15 0 0
19 70 0 0
19 31 0 0
19 27 0 0
19 33 0 0
19 74 0 0
9 5 0 0
9 4 0 0
9 31 0 0
9 97 0 0
9 31 0 0
9 4 0 0
9 75 0 0
9 64 0 0
9 99 0 0
9 5 0 0
9 74 0 0
9 113 0 0
9 9 0 0
9 20 0 0
9 50 0 0
9 34 0 0
9 7 0 0
9 4 0 0
9 30 0 0
9 11 0 0
9 25 0 0
9 100 0 0
9 74 0 0
9 103 0 0
9 40 0 0
9 6 0 0
9 4 0 0
9 97 0 0
9 5 0 0
9 25 0 0
9 113 0 0
9 4 0 0
9 95 0 0
9 48 0 0
9 65 0 0
9 97 0 0
9 7 0 0
9 94 0 0
9 2 0 0
9 39 0 0
9 30 0 0
9 63 0 0
9 1 0 0
9 93 0 0
9 75 0 0
9 4 0 0
9 24 0 0
9 86 0 0
9 5 0 0
9 49 0 0
9 42 0 0
9 91 0 0
9 43 0 0
9 37 0 0
9 4 0 0
12 56 0 0
12 31 0 0
12 108 0 0
12 10 0 0
12 31 0 1
12 31 0 0
12 22 0 0
12 30 0 1
12 68 0 0
12 5 0 0
12 26 0 1
12 85 0 1
12 122 0 0
12 4 0 0
12 25 0 0
12 25 0 1
12 118 0 0
14 22 0 0
14 25 0 0
14 7 0 0
14 10 0 0
14 21 0 0
14 21 0 0
14 20 0 0
14 90 0 0
14 100 0 0
14 15 0 0
14 10 0 0
14 123 0 0
14 77 0 0
14 5 0 0
14 120 0 0
14 4 0 0
14 5 0 0
14 10 0 0
14 50 0 0
14 30 0 0
14 63 0 0
14 30 0 0
14 122 0 0
14 33 0 0
14 125 0 0
14 9 0 0
14 75 0 0
14 2 0 0
14 126 0 0
14 50 0 0
14 74 0 0
14 52 0 0
14 127 0 0
14 74 0 0
14 127 0 0
14 4 0 0
14 42 0 0
14 7 0 0
14 22 0 0
14 33 0 0
14 50 0 0
14 33 0 0
14 113 0 0
14 5 0 0
14 120 0 0
14 99 0 0
14 4 0 0
13 12 0 0
13 5 0 0
13 102 0 0
13 5 0 0
13 83 0 0
13 92 0 0
13 124 0 0
13 1 0 0
13 31 0 0
13 123 0 1
13 106 0 0
13 7 0 0
13 109 0 0
13 25 0 0
13 4 0 0
13 7 0 0
13 50 0 0
13 122 0 0
13 25 0 0
13 96 0 0
13 48 0 0
13 33 0 0
13 6 0 0
13 31 0 0
13 31 0 0
13 31 0 0
13 22 0 0
7 5 0 0
7 96 0 0
7 66 0 0
7 88 0 0
7 31 0 0
7 22 0 0
7 10 0 0
7 19 0 0
7 7 0 0
7 25 0 0
7 31 0 0
7 97 0 0
7 2 0 0
7 5 0 0
7 31 0 0
7 36 0 0
7 50 0 0
7 9 0 0
7 30 0 0
7 10 0 0
7 31 0 0
