d w z t
3 57 1 0
3 57 0 1
3 2 1 0
3 68 0 1
3 56 1 0
3 30 1 0
3 10 1 0
3 60 1 0
3 32 1 0
3 1 1 0
3 2 1 0
3 0 1 0
3 67 1 0
3 59 1 0
3 62 1 0
3 64 1 0
18 20 1 0
18 61 1 0
18 137 1 0
18 146 1 0
18 36 1 0
18 36 1 0
18 31 1 0
18 33 1 0
18 36 1 0
18 50 1 0
18 3 1 0
18 121 1 0
18 20 1 0
18 20 1 0
18 81 1 0
18 0 1 0
18 117 1 0
18 2 1 0
18 57 1 0
18 36 1 0
18 149 1 0
18 20 1 0
18 52 1 0
18 10 1 0
18 0 1 0
18 32 1 0
18 20 1 0
18 140 1 0
18 125 1 0
18 20 1 0
18 1 1 0
18 20 1 0
18 57 1 0
18 30 1 0
18 30 1 0
18 11 1 0
18 24 1 0
18 0 1 0
18 105 1 0
18 1 1 0
18 126 1 0
18 0 1 0
18 1 1 0
18 0 1 0
18 20 1 0
18 30 1 0
18 3 1 0
18 27 1 0
18 20 1 0
8 0 0 0
8 3 0 0
8 1 0 0
8 118 0 0
8 70 0 0
8 29 0 0
8 1 0 0
8 86 0 0
8 54 0 0
8 26 0 0
8 29 0 0
8 53 0 0
8 19 0 0
8 121 0 0
8 0 0 0
8 1 0 0
8 20 0 0
8 10 0 0
8 42 0 0
8 119 0 0
8 48 0 0
8 89 0 0
8 68 0 0
8 48 0 0
8 10 0 0
8 0 0 0
8 120 0 0
8 26 0 0
8 76 0 0
8 19 0 0
8 55 0 0
8 54 0 0
8 19 0 0
8 76 0 0
8 55 0 0
8 10 0 0
12 0 1 0
12 143 1 0
12 4 1 0
12 87 1 0
12 30 1 0
12 4 1 0
12 143 1 0
12 20 1 0
12 20 1 0
12 10 1 0
12 82 1 0
12 24 1 0
12 20 1 0
12 31 1 0
12 19 1 0
12 0 1 0
12 20 1 0
12 1 1 0
12 82 1 0
12 84 1 0
12 11 1 0
12 143 1 0
12 69 1 0
12 10 1 0
12 109 1 0
12 31 1 0
12 104 1 0
12 30 1 0
12 19 1 0
12 46 1 0
12 19 1 0
12 13 1 0
12 142 1 0
12 19 1 0
12 1 1 0
12 31 1 0
12 144 1 0
12 20 1 0
12 28 1 0
12 79 1 0
12 104 1 0
12 78 1 0
12 16 1 0
12 141 1 0
12 13 1 0
12 4 1 0
12 20 1 0
12 3 1 0
12 141 1 0
12 83 1 0
12 24 1 0
12 9 1 0
12 0 1 0
12 105 1 0
12 0 1 0
